Rank,Username,Categories,Suscribers,Country,Visits,Likes,Comments,Links
192,mujjuu___14,Entertainment,"26,800,000",IN,"4,500,000","144,000",150,http://youtube.com/channel/UCHUu2HAnogpaK2UmTSJT8jg
193,indosiar,Entertainment,"26,700,000",ID,"18,800",471,24,http://youtube.com/channel/UCYqOeAXJm8yV9sJ8Ud3cR7A
194,SpiderSlack,Lifestyle_(sociology),"26,600,000",BR,"532,500","37,700",192,http://youtube.com/channel/UCtiddfzHXNevG-yYe5vc_4Q
195,worldstarhiphop,Music,"26,600,000",US,"40,300",993,127,http://youtube.com/channel/UC-yXuc1__OzjwpsJPlxYUCQ
196,smosh,Film,"26,300,000",US,"289,100","21,300",214,http://youtube.com/channel/UCY30JRSgfhYXA6i6xX1erWg
197,1MILLION_Dance,Pop_music,"26,300,000",KR,"35,300","1,800",20,http://youtube.com/channel/UCw8ZhLPdQ0u_Y-TLKd61hGA
198,dianaandromahin8102,Lifestyle_(sociology),"26,200,000",US,"109,000",322,0,http://youtube.com/channel/UC5ma-WCc8jNCV0WyRnfbHTg
199,nickiminaj,Music,"26,100,000",US,"1,600,000","98,300","7,600",http://youtube.com/channel/UC3jOd7GUMhpgJRBhiLzuLsg
200,mariliamendoncareal,Music,"26,100,000",BR,0,0,0,http://youtube.com/channel/UCwfEOn0O1DWcyTgzVVu28ig
201,TheLallantop,Society,"26,000,000",IN,"30,800",822,52,http://youtube.com/channel/UCx8Z14PpntdaxCt2hakbQLQ
202,AGT,Performing_arts,"25,900,000",US,"186,800","3,100",197,http://youtube.com/channel/UCT2X19JJaJGUN7mrYuImANQ
203,davidguetta,Electronic_music,"25,900,000",US,0,0,0,http://youtube.com/channel/UC1l7wYrva1qCH-wgqcHaaRg
204,ThatLittlePuff,Lifestyle_(sociology),"25,900,000",US,"5,100,000","299,000",573,http://youtube.com/channel/UClFN9LShD_Pv0wnSeUKbUZw
205,postmalone,Hip_hop_music,"25,900,000",US,"223,100","13,100",526,http://youtube.com/channel/UCeLHszkByNZtPKcaVXOCOQQ
206,VanossGaming,Action-adventure_game,"25,900,000",US,"1,300,000","56,500","1,100",http://youtube.com/channel/UCKqH_9mk1waLgBiL2vT5b9g
207,DanielLaBelle,Entertainment,"25,900,000",US,"1,700,000","130,100",892,http://youtube.com/channel/UCb8vrqP8Z7Oz9ZTYvUtjUHQ
208,abp_live,News,"25,800,000",IN,"2,300",49,1,http://youtube.com/channel/UCmphdqZNmqL72WJ2uyiNw5w
209,LosPolinesios,Lifestyle_(sociology),"25,700,000",MX,"1,400,000","38,400",866,http://youtube.com/channel/UCs8qka8tfhdc69wzXYdtZ3A
210,AlejoIgoa,Technology,"25,700,000",AR,"5,700,000","208,400","1,700",http://youtube.com/channel/UCZs0WwC0Dn_noiQE2BHSTKg
211,ZHCYT,Technology,"25,700,000",US,"2,600,000","127,300","2,200",http://youtube.com/channel/UClQubH2NeMmGLTLgNdLBwXg
212,RansEntertainment,Lifestyle_(sociology),"25,700,000",ID,"365,500","11,400",399,http://youtube.com/channel/UCvA9_f5Lwk-poMynabtrZPg
213,wbkids,Film,"25,700,000",US,"76,100",699,0,http://youtube.com/channel/UC9trsD1jCTXXtN3xIOIU8gg
214,coldplay,Pop_music,"25,500,000",GB,"66,900","3,700",81,http://youtube.com/channel/UCDPM_n1atn2ijUwHd0NNRQw
215,ChrisBrownTV,Pop_music,"25,500,000",US,"102,000","9,700",354,http://youtube.com/channel/UCcYrdFJF7hmPXRNaWdrko4w
216,MarkRober,Lifestyle_(sociology),"25,500,000",US,"479,200","31,700",329,http://youtube.com/channel/UCY1kMZp36IQSyNx_9h4mpCg
217,danrhodes,Performing_arts,"25,500,000",GB,"414,500","19,300",131,http://youtube.com/channel/UC6D1L2vxEAg_Vi0JSxMBDgA
218,TRANS7Official,Entertainment,"25,400,000",ID,"1,600",29,2,http://youtube.com/channel/UC24_Z2L-8Ki183AI9zJJzNQ
219,WatchMojo,Entertainment,"25,100,000",CA,"46,700","1,400",195,http://youtube.com/channel/UCaWd5_7JhbQBe4dknZhsHJg
220,LeoNataFamily,Entertainment,"25,000,000",US,"2,100,000","42,100",46,http://youtube.com/channel/UCMsPm8-25ygqRrRe9_s1WFw
221,kidstv,Film,"25,000,000",US,"132,600","1,600",0,http://youtube.com/channel/UC7Pq3Ko42YpkCB_Q4E981jw
222,PenMovies,Entertainment,"25,000,000",IN,"59,800","1,200",25,http://youtube.com/channel/UC3ar28GS6o1p0m_wabfk2zw
223,ChloeTing,Physical_fitness,"24,900,000",AU,"192,700","7,900",621,http://youtube.com/channel/UCCgLoMYIyP0U56dEhEL1wXQ
224,PrestonYT,Entertainment,"24,900,000",US,"1,300,000","36,100",287,http://youtube.com/channel/UC70Dib4MvFfT1tU6MqeyHpQ
225,topperguild,Entertainment,"24,900,000",US,"1,800,000","77,600",838,http://youtube.com/channel/UCPuEAY09CtdTzFNWuqVZgDw
226,akshaynagwadiya,Entertainment,"24,900,000",IN,"3,100,000","143,500",288,http://youtube.com/channel/UCz7PhJtc2G8Sre2vCLfmqAw
227,Yuya,Lifestyle_(sociology),"24,800,000",MX,0,0,0,http://youtube.com/channel/UCBNs31xysxpAGMheg8OrngA
228,likenastyaae,Lifestyle_(sociology),"24,800,000",US,"587,400","3,200",0,http://youtube.com/channel/UC3I1iohrGzxep0p8r1Osw3w
229,unknownboyvarun,Film,"24,700,000",IN,"1,300,000","119,600",154,http://youtube.com/channel/UC4DLvb5xZ9OLcVM1KC_R97g
230,TsurikiShow,Entertainment,"24,700,000",DE,"604,600","9,500",8,http://youtube.com/channel/UCymK_3BWUcoYVVf5D_GmACQ
231,1theK,Music,"24,700,000",KR,"10,100",595,29,http://youtube.com/channel/UCweOkPb1wVVH0Q0Tlj4a5Pw
232,DianaRomaARA,Entertainment,"24,600,000",US,"1,200,000","5,100",0,http://youtube.com/channel/UCtm3DGXkWqAUQZMHl97SVxA
233,shfashowindia,Lifestyle_(sociology),"24,600,000",AE,"1,300,000","8,800",0,http://youtube.com/channel/UCNvYCW3cMbkWy2g2v4Wb6xw
234,kidschannelindia,Music,"24,400,000",IN,"80,300",385,0,http://youtube.com/channel/UCR1hQY5sz5NEYofdv09XimA
235,goldmineshindi,Entertainment,"24,400,000",IN,"12,500",139,3,http://youtube.com/channel/UCs570zdFq_NNA5OcV8chnHw
236,Venus_Movies,Entertainment,"24,400,000",IN,"39,100",425,10,http://youtube.com/channel/UCpcsv3Ow-8IhoUGDEfPetsQ
237,netdmuzik,Pop_music,"24,400,000",TR,"6,100",158,34,http://youtube.com/channel/UCR5wZcXtOUka8jTA57flzMg
238,TheElenaYa,Music,"24,400,000",US,"611,400","1,100",0,http://youtube.com/channel/UCl_P0sCqxOdQpMwuajdXkRg
239,rug,Lifestyle_(sociology),"24,300,000",US,"3,200,000","85,300","5,100",http://youtube.com/channel/UCilwZiBBfI9X6yiZRzWty8Q
240,kimpro828,Entertainment,"24,300,000",KR,"2,300,000","55,300",403,http://youtube.com/channel/UCiVs2pnGW5mLIc1jS2nxhjg
241,suntv,Entertainment,"24,300,000",IN,"15,300",457,2,http://youtube.com/channel/UCBnxEdpoZwstJqC1yZpOjRA
242,DJSnake,Music,"24,300,000",US,"16,700",846,19,http://youtube.com/channel/UC_x8HoD18XJkILQBreVENUQ
243,alanbecker,Role-playing_video_game,"24,300,000",US,"7,600,000","582,600","5,900",http://youtube.com/channel/UCbKWv2x9t6u8yZoB3KcPtnw
244,MayaAndMary,Lifestyle_(sociology),"24,100,000",US,"134,600",0,0,http://youtube.com/channel/UC50vBAtklUoJF1Wx5q0pmuw
245,sagawa,Entertainment,"24,100,000",JP,"408,800","13,300",55,http://youtube.com/channel/UCWaOde99oeUVoXbIj3SNu9g
246,juandediospantojaa,Entertainment,"24,000,000",MX,"3,000,000","133,200","3,600",http://youtube.com/channel/UCzoUWqjCbcfWFdOMvoep8FA
247,EnriqueIglesias,Music,"23,900,000",ES,"21,800","2,000",142,http://youtube.com/channel/UC-6czyMkxDi8E8akPl0c7_w
248,JamesCharles,Lifestyle_(sociology),"23,900,000",US,"964,500","62,300","1,100",http://youtube.com/channel/UCucot-Zp428OwkyRm2I7v2Q
249,MrMaxLife,Hobby,"23,900,000",GB,"824,200","19,300","3,000",http://youtube.com/channel/UC_8PAD0Qmi6_gpe77S1Atgg
250,TroomTroom,Lifestyle_(sociology),"23,900,000",US,"62,900","1,200",15,http://youtube.com/channel/UCWwqHwqLSrdWMgp5DZG5Dzg
251,PeppaPigEspanolLatinoOficial,Entertainment,"23,800,000",GB,"604,400","1,700",0,http://youtube.com/channel/UCrreHSUa5rnuCVDeO8dX4eA
252,misskaty1133,Hobby,"23,700,000",GB,"1,300,000","15,200","1,000",http://youtube.com/channel/UCcartHVtvAUzfajflyeT_Gg
253,Ninja,Action_game,"23,700,000",US,"204,600","8,700",141,http://youtube.com/channel/UCAW-NpUFkMyCNrvRSSGIvDQ
254,NickyJamTV,Music_of_Latin_America,"23,700,000",PR,"15,800","1,200",58,http://youtube.com/channel/UCpb_iJuhFe8V6rQdbNqfAlQ
255,Azhan5star,Film,"23,600,000",IN,"4,000,000","181,100",407,http://youtube.com/channel/UCY-at5vWhDoMJ8y0kIPFwDA
256,ishaanali11,Entertainment,"23,500,000",IN,"3,400,000","242,900",467,http://youtube.com/channel/UCN4NflpHqLeHQZ91kTUVCBw
257,ValentinaPontesofc,Hobby,"23,500,000",BR,"730,200","2,700",0,http://youtube.com/channel/UC0ebPa2q1rwZVN7dYemunUQ
258,Jelly,Action_game,"23,500,000",GB,"156,400","5,800",266,http://youtube.com/channel/UC0DZmkupLYwc0yDsfocLh0A
259,toyorbabytv,Music,"23,500,000",JO,"111,400",0,0,http://youtube.com/channel/UCHAbNxkU837UAkZ-OPtdUUw
260,SesameStreet,Film,"23,400,000",US,"364,800",971,0,http://youtube.com/channel/UCoookXUzPciGrEZEXmh4Jjg
261,TED,Knowledge,"23,400,000",US,"43,900",954,64,http://youtube.com/channel/UCAuUUnT6oDeKwE6v1NGQxug
262,GMMGrammy,Pop_music,"23,400,000",TH,"2,900",96,3,http://youtube.com/channel/UCG9gfnA5UDoLvz-tC9B-HKw
263,WaveMusicBhojpuri,Music_of_Asia,"23,400,000",IN,"8,400",154,7,http://youtube.com/channel/UCYLlkv4hivYJlOk6Lo-RHNQ
264,TuzelityOfficial,Lifestyle_(sociology),"23,300,000",RU,"3,200,000","96,600",673,http://youtube.com/channel/UCVRqK0tS3B8pVog1HwCR4pg
265,whitehillmusic,Music_of_Asia,"23,300,000",IN,"15,300",659,5,http://youtube.com/channel/UCopY0NAzASqmD6eVaRj2TFQ
266,VaniaManiaKids,Lifestyle_(sociology),"23,300,000",US,"325,000",599,0,http://youtube.com/channel/UCLbyJSPEe2lx3jY-G0CFR3g
267,TechnicalGuruji,Lifestyle_(sociology),"23,300,000",IN,"169,500","7,600",455,http://youtube.com/channel/UCOhHO2ICt0ti9KAh-QHvttQ
268,CuteAnimalsTV.,Pet,"23,200,000",US,"3,400",9,0,http://youtube.com/channel/UCWlK0s4T4gyLavYiQTpSzKQ
269,BabyBusES,Entertainment,"23,200,000",MX,"80,000",332,0,http://youtube.com/channel/UCy_rxpSt8DMagOUFA9Q-t1A
270,DrossRotzank,Society,"23,100,000",AR,"1,700,000","105,900","3,900",http://youtube.com/channel/UCNYW2vfGrUE6R5mIJYzkRyQ
271,capitanyolotroll,Entertainment,"23,100,000",MX,"3,200,000","189,300",827,http://youtube.com/channel/UCQ8TuCvcDMepleXFyOQfyOQ
272,LikeNastya_PRT,Lifestyle_(sociology),"23,000,000",US,"441,000","2,500",0,http://youtube.com/channel/UCtyr6UXUdZJJHuWGKzoiLfg
273,ZachChoi,Food,"23,000,000",US,"142,200","3,000",162,http://youtube.com/channel/UCI78AdiI6f7VKhqW1i4B3Rw
274,GoldminesCineplex,Film,"23,000,000",IN,"11,800",129,2,http://youtube.com/channel/UCCrw5RBWF9i8VPt4IxL8IsQ
275,DangalTVChannel,Television_program,"23,000,000",IN,"91,900","2,100",16,http://youtube.com/channel/UCNzmmbXIbMzlqE8nD1PBXfg
276,AmiRodrigueZZ,Entertainment,"22,900,000",CO,"4,300,000","294,400","1,300",http://youtube.com/channel/UCwohKbRK2QnojtLh3p7xwaA
277,Yoeslan,Entertainment,"22,900,000",US,"2,400,000","49,700",81,http://youtube.com/channel/UCVtD5iA4rUuOK5cQrB_o4ow
278,sia,Pop_music,"22,900,000",AU,0,0,0,http://youtube.com/channel/UCN9HPn2fq-NL8M5_kp4RWZQ
279,vladandnikiarab2,Lifestyle_(sociology),"22,800,000",US,"982,900","4,800",0,http://youtube.com/channel/UCP9MW9ATjUwwulqEYTbp-Mw
280,invictorgs3,Action-adventure_game,"22,800,000",ES,"806,400","25,500",418,http://youtube.com/channel/UChOQkbLHWi3zSCUjT7Kjd1g
281,Kidibli,Entertainment,"22,800,000",US,"138,500","2,400",0,http://youtube.com/channel/UCVEDZVtA5NUtjxSXHjtvkag
282,StokesTwins,Entertainment,"22,700,000",US,"11,700,000","235,000","10,000",http://youtube.com/channel/UCbp9MyKCTEww4CxEzc_Tp0Q
283,vladandnikispain,Hobby,"22,700,000",US,"1,000,000","3,000",0,http://youtube.com/channel/UCZLl7vfqlRjVL4YBHGmLVvQ
284,mmoshaya,Lifestyle_(sociology),"22,700,000",SA,"1,100,000","14,100",835,http://youtube.com/channel/UCPOw2O3_uZ1doro9iR4x6vw
285,SSundee,Action_game,"22,700,000",US,"1,700,000","59,800","1,800",http://youtube.com/channel/UCke6I9N4KfC968-yRcd5YRg
286,souravjoshivlogs7028,Lifestyle_(sociology),"22,700,000",IN,"5,600,000","382,300","8,900",http://youtube.com/channel/UCjvgGbPPn-FgYeguc5nxG4A
287,THECHAINSMOKERS,Electronic_music,"22,700,000",US,"38,900","1,800",76,http://youtube.com/channel/UCq3Ci-h945sbEYXpVlw7rJg
288,ZachKing,Lifestyle_(sociology),"22,600,000",US,"4,900,000","238,500",522,http://youtube.com/channel/UCq8DICunczvLuJJq414110A
289,BenAzelart,Entertainment,"22,500,000",US,"3,700,000","44,900","2,700",http://youtube.com/channel/UCwVg9btOceLQuNCdoQk9CXg
290,DUDUeCAROL,Lifestyle_(sociology),"22,500,000",BR,"964,300","29,200",89,http://youtube.com/channel/UC371icpvZj2oQaocL0i9L-g
291,fgteev,Video_game_culture,"22,500,000",US,"826,800","10,300","2,100",http://youtube.com/channel/UCC-RHF_77zQdKcA75hr5oTQ
292,VillageCookingChannel,Lifestyle_(sociology),"22,500,000",IN,"21,500,000","321,500","5,900",http://youtube.com/channel/UCk3JZr7eS3pg5AGEvBdEvFg
293,dednahype,Lifestyle_(sociology),"22,400,000",LV,"598,300","10,400",25,http://youtube.com/channel/UCNRl8nOCoUvki2FNFxQZgEg
294,disneyla,Film,"22,400,000",AR,"89,100",105,0,http://youtube.com/channel/UCq3zaHCaZtb3TtNwwz0PK2w
295,smilefamily363,Music,"22,400,000",US,"7,600",45,0,http://youtube.com/channel/UCjZ-Ekz7JDN6GDXwusvSHvg
296,NetflixIndiaOfficial,Film,"22,300,000",IN,"61,400","1,400",111,http://youtube.com/channel/UCZSNzBgFub_WWil6TOTYwAg
297,BeatboxJCOP,Entertainment,"22,300,000",KR,"1,600,000",0,727,http://youtube.com/channel/UCdX5KXiCTPYWYZscfphgQ4g
298,LIVCrime,Film,"22,300,000",US,"19,400",249,16,http://youtube.com/channel/UCzXpAx4v6rFLYXkJZ5nmSvQ
299,rotanamusic,Music,"22,300,000",SA,"2,100,000","12,600",321,http://youtube.com/channel/UCNhqvQMXIgRfjAGmxQqdNRw
300,RAFAELUIZOFICIAL,Lifestyle_(sociology),"22,100,000",BR,"671,700","30,500",522,http://youtube.com/channel/UC6paX0kLA8D81aYogceMufw
301,NatGeo,Film,"22,100,000",US,"42,200",871,38,http://youtube.com/channel/UCpVm7bg6pXKo1Pr6k5kxG9A
302,williesalim,Lifestyle_(sociology),"21,900,000",ID,"396,200",0,"2,800",http://youtube.com/channel/UCPCaXSwaos-QI03iZtx8I6g
303,SMOL_official,Humour,"21,900,000",US,"114,500","2,600",5,http://youtube.com/channel/UCBBZ7No0AzEJ3qiatjSa-mg
304,alfredolarin,Entertainment,"21,900,000",SV,"12,900,000","707,600","2,100",http://youtube.com/channel/UCd5ApCORQsMOZZz5E9oVeFA
305,TlnovelasOficial,Entertainment,"21,900,000",MX,"5,500",152,5,http://youtube.com/channel/UCKyU-wd-KY4PMOcOpPQgQcw
306,royaltyfam,Lifestyle_(sociology),"21,900,000",US,"4,700,000","67,000","6,600",http://youtube.com/channel/UCja7QUMRG9AD8X2F_vXFb9A
307,EvaBravoPlay,Hobby,"21,800,000",US,"332,800","1,300",0,http://youtube.com/channel/UCvYhgH0hXziSz9IyPztzUug
308,infinite,Lifestyle_(sociology),"21,700,000",US,"884,800","45,700","1,400",http://youtube.com/channel/UC_hSjGOO67A6gIDUcyuv_8A
309,MartaAndRustam,Entertainment,"21,700,000",US,"4,100,000","65,900",52,http://youtube.com/channel/UCm-Qr3k89gtXcuv2jL29XFw
310,khangsresearchcentre1685,Society,"21,700,000",IN,"7,300,000","501,700","17,000",http://youtube.com/channel/UCatL-c6pmnjzEOHSyjn-sHA
311,gmapublicaffairs,Entertainment,"21,700,000",PH,"4,300",68,2,http://youtube.com/channel/UCj5RwDivLksanrNvkW0FB4w
312,vladandnikidn,Lifestyle_(sociology),"21,700,000",US,"529,400","1,300",0,http://youtube.com/channel/UCgG9IWOPcCIfQoI00xQBUbg
313,beckyg,Lifestyle_(sociology),"21,500,000",US,0,0,0,http://youtube.com/channel/UCgtNC51EUSgcZ6kKyVoPxKA
314,Priyal_Kukreja,Lifestyle_(sociology),"21,500,000",IN,"7,700,000","224,600",510,http://youtube.com/channel/UCzEAWIWMigRBbulQ6yVlilg
315,BaimPaula,Entertainment,"21,300,000",ID,"352,500","12,600",773,http://youtube.com/channel/UC5xAPCVizxOfnMECMXkal2Q
316,BraveWilderness,Lifestyle_(sociology),"21,100,000",US,"635,400","14,400",862,http://youtube.com/channel/UC6E2mP01ZLH_kbAyeazCNdg
317,buzzfeedtasty,Food,"21,100,000",US,"84,300","3,200",34,http://youtube.com/channel/UCJFp8uSYCjXOMnkUyb3CQ3Q
318,fatosdesconhecidos,Lifestyle_(sociology),"21,100,000",BR,"92,900","10,200",407,http://youtube.com/channel/UCbAiIkPobUFy71zlmwVw3jw
319,lyricalemonade,Hip_hop_music,"21,100,000",US,"2,800,000","127,300","5,800",http://youtube.com/channel/UCtylTUUVIGY_i5afsQYeBZA
320,MrVivekBindra,Entertainment,"21,100,000",IN,"56,900","3,100",17,http://youtube.com/channel/UCR-foyF-C6VuAlwy3KZMkgA
321,VijayTelevision,Television_program,"21,100,000",IN,"99,500","1,500",18,http://youtube.com/channel/UCvrhwpnp2DHYQ1CbXby9ypQ
322,kurzgesagt,Society,"21,100,000",DE,"4,900,000","253,500","14,000",http://youtube.com/channel/UCsXVk37bltHxD1rDPwtNM8Q
323,romeo,Music,"21,100,000",US,"3,200,000","53,900","1,600",http://youtube.com/channel/UCyxbZF7_PK4nLiexj0kkCNg
324,corbuzier,Entertainment,"21,000,000",ID,"2,100,000","44,400","4,700",http://youtube.com/channel/UCYk4LJI0Pr6RBDWowMm-KUw
325,NBA,Sport,"20,900,000",US,"46,400","1,000",55,http://youtube.com/channel/UCWJ2lWNubArHWmf3FIHbfcQ
326,JasonDerulo,Entertainment,"20,800,000",US,"80,500","3,100",35,http://youtube.com/channel/UCe3yZzUwpmy2eKKmF9svX0Q
327,KiddiestvHindi,Film,"20,800,000",IN,"17,700",66,0,http://youtube.com/channel/UCvEAgG7WzPZnZkf9iOV_YCg
328,avicii,Music,"20,700,000",SE,0,0,0,http://youtube.com/channel/UCPHjpfnnGklkRBBTd0k6aHg
329,5MinuteCraftsDIY,Lifestyle_(sociology),"20,700,000",US,"14,600",110,4,http://youtube.com/channel/UC2etEuPIfohP4P53wM0KImA
330,NinjaKidz,Entertainment,"20,700,000",US,"289,800","6,600",217,http://youtube.com/channel/UCpZ88DWlKW0H_AYDaUZptcw
331,7clouds,Hip_hop_music,"20,700,000",US,"92,100","1,200",74,http://youtube.com/channel/UCNqFDjYTexJDET3rPDrmJKg
332,LinkinPark,Rock_music,"20,700,000",US,"73,700","7,100",134,http://youtube.com/channel/UCZU9T1ceaOgwfLRq7OKFU4Q
333,Mnet,Television_program,"20,700,000",KR,"34,400","3,500",168,http://youtube.com/channel/UCbD8EppRX3ZwJSou-TVo90A
334,BabyBusID,Film,"20,600,000",ID,"285,400",744,0,http://youtube.com/channel/UC5v3gjCQLFeg8eBXO7ShdpQ
335,Genevieve's Playhouse,Hobby,"20,600,000",IN,"513,400","3,100",0,http://youtube.com/channel/UCJhSN5ic1QXn1doXzdiiCGQ
336,JoseComilaoTotoy,Film,"20,600,000",BR,"199,000","5,000",0,http://youtube.com/channel/UCy7whoHQXzhYxp9AQmrPFVw
337,jakepaul,Lifestyle_(sociology),"20,500,000",US,"172,400","7,500",127,http://youtube.com/channel/UCcgVECVN4OKV6DH1jLkqmcA
338,somoynews360,Society,"20,500,000",US,"7,400",196,4,http://youtube.com/channel/UCxHoBXkY88Tb8z1Ssj6CWsQ
339,SlivkiShow,Hobby,"20,500,000",UA,"2,500,000","154,200","6,800",http://youtube.com/channel/UCU_yU4xGT9hrVFo6euH8LLw
340,Miawaug,Video_game_culture,"20,500,000",ID,"748,400","29,300","2,000",http://youtube.com/channel/UC3J4Q1grz46bdJ7NJLd4DGw
341,EmiwayBantai,Hip_hop_music,"20,500,000",IN,"892,800","95,600","5,500",http://youtube.com/channel/UCHmk8iNJHvf5mGN6_pkPc7g
342,PragatiVermaaShorts,Entertainment,"20,500,000",IN,"2,800,000","134,300","1,400",http://youtube.com/channel/UCZcR0eG70cbq044cb_OH3Qw
343,Cookieswirlc,Action-adventure_game,"20,500,000",US,"147,000","2,000",482,http://youtube.com/channel/UCelMeixAOTs2OQAAi9wU8-g
344,gottalentglobal,Television_program,"20,400,000",US,"222,500","1,200",71,http://youtube.com/channel/UCe_Fx4EZAgKjDz0aQ_Y7hSA
345,triggeredinsaan,Entertainment,"20,400,000",IN,"11,100,000","1,400,000","38,000",http://youtube.com/channel/UCfLuT3JwLx8rvHjHfTymekw
346,SonyAATH,Entertainment,"20,400,000",US,"89,500",782,49,http://youtube.com/channel/UCBz9qbqujcjIavFmBJW2oZw
347,IShowSpeed,Sports_game,"20,300,000",US,"2,500,000","101,600","5,000",http://youtube.com/channel/UCWsDFcIhY2DBi3GB5uykGXA
348,RobinHoodGamer1,Action_game,"20,300,000",BR,"465,800","17,000",533,http://youtube.com/channel/UCYtaoJSk9iIrFxx8eZB15ag
349,5MinuteCraftsPLAY,Lifestyle_(sociology),"20,300,000",US,"14,300",106,5,http://youtube.com/channel/UC57XAjJ04TY8gNxOWf-Sy0Q
350,marvel,Video_game_culture,"20,300,000",US,"94,400","5,200",216,http://youtube.com/channel/UCvC4D8onUfXzvjTOM-dBfEA
351,rkddigital,Film,"20,200,000",IN,"694,400","6,300",90,http://youtube.com/channel/UCjBwQ6M9QyCgO5Pp-TQRFUA
352,greengoldtv,Television_program,"20,100,000",IN,"42,000",930,0,http://youtube.com/channel/UCiBigY9XM-HaOxUc269ympg
353,gordonramsay,Food,"20,100,000",GB,"114,900","2,800",117,http://youtube.com/channel/UCIEv3lZ_tNXHzL3ox-_uUGQ
354,BuzzFeedVideo,Entertainment,"20,100,000",US,"15,500",377,8,http://youtube.com/channel/UCpko_-a4wgz2u_DgDgd9fqA
355,unboxtherapy,Technology,"20,100,000",CA,"178,500","7,300",140,http://youtube.com/channel/UCsTcErHg8oDvUnTzoqsYeNw
356,gusttavolimaoficial,Music,"20,100,000",BR,"131,000","6,000",88,http://youtube.com/channel/UCXooz9whNJZBRTHi9AqdjPw
357,AuthenticGames,Action-adventure_game,"20,100,000",BR,"20,100","2,200",34,http://youtube.com/channel/UCIPA6iWNaoetaa1T46RkzXw
358,bobbyprankster,Entertainment,"20,100,000",IN,"2,900,000","223,500",226,http://youtube.com/channel/UC5apxzE3aEOpvP0XkeuW8mw
359,pencilmation,Television_program,"20,100,000",US,"179,700","1,500",88,http://youtube.com/channel/UCUAL--p3qAa27luR0IYbjZA
360,PinkPanther,Television_program,"20,100,000",US,"274,200","1,700",0,http://youtube.com/channel/UCFeUyPY6W8qX8w2o6oSiRmw
361,ASGamingsahil,Lifestyle_(sociology),"20,100,000",IN,"227,400","22,500",618,http://youtube.com/channel/UCMrvxKTx9hLhZcOvJkYOnAw
362,React,Entertainment,"20,100,000",US,"133,300","5,400",214,http://youtube.com/channel/UC0v-tlzsn0QZwJnkiaUSJVQ
363,PTXofficial,Music,"20,100,000",US,0,0,0,http://youtube.com/channel/UCmv1CLT6ZcFdTJMHxaR9XeA
364,VEVO,Hip_hop_music,"20,100,000",US,"9,500",519,7,http://youtube.com/channel/UC2pmfLm7iq6Ov1UwYrWYkZA
365,goldminesgreatindiancomedy2048,Entertainment,"20,000,000",IN,"5,800",39,2,http://youtube.com/channel/UC76Yc75RGWonijH02CIhPaw
366,BGT,Television_program,"19,900,000",GB,"40,800",576,28,http://youtube.com/channel/UCUtZaxDF3hD5VK4xRYFBePQ
367,sctv_,Entertainment,"19,900,000",ID,"10,900",225,13,http://youtube.com/channel/UC_vsErcsq56hOscPHkG-aVw
368,ClashOfClans,Strategy_video_game,"19,900,000",FI,"1,600,000","30,100",952,http://youtube.com/channel/UCD1Em4q90ZUK2R5HKesszJg
369,HaerteTest,Lifestyle_(sociology),"19,900,000",DE,"18,600",76,7,http://youtube.com/channel/UCqsS8fU6yVxrJr5y_CoUn3w
370,Vsauce,Knowledge,"19,900,000",US,"4,500,000","449,000","3,600",http://youtube.com/channel/UC6nSFpj9HTCZ5t-N3Rm3-HA
371,TroomTroom_Es,Entertainment,"19,800,000",ES,"76,000","1,300",24,http://youtube.com/channel/UCu6oyJJ6PlkeNNv6n26ZNyA
372,etvteluguindia,Television_program,"19,800,000",IN,"11,300",220,1,http://youtube.com/channel/UCSs9H1cyB3OHdy8wkit8ZKg
373,tabii.urdu,Entertainment,"19,800,000",TR,"17,900",485,23,http://youtube.com/channel/UCfiM9_Me5QJBEr0PItkbXgw
374,fifa,Association_football,"19,700,000",CH,"43,200","2,100",28,http://youtube.com/channel/UCpcTrCXblq78GZrTUTLWeBw
375,CraftyPanda,Hobby,"19,700,000",US,"18,000",136,5,http://youtube.com/channel/UC03RvJoIhm_fMwlUpm9ZvFw
376,DLSNews,Society,"19,700,000",IN,"123,000","3,800",188,http://youtube.com/channel/UCw0ry7cLRUnq3Oaszlhgqfg
377,WowKidzAction,Entertainment,"19,600,000",IN,"21,300",90,0,http://youtube.com/channel/UCCyKsYaRi62axS-kasXW7wA
378,JakeFellman,Video_game_culture,"19,500,000",US,"471,300","21,600",437,http://youtube.com/channel/UCEnqwW6f7bYidXHAI13hhMA
379,Slick_Slime_Sam_Spanish,Lifestyle_(sociology),"19,500,000",MX,"100,500","2,200",0,http://youtube.com/channel/UCfRgJADdLXwrcjIuTxn_u3Q
380,Sidemen,Lifestyle_(sociology),"19,500,000",GB,"9,200,000","284,800","8,200",http://youtube.com/channel/UCDogdKl7t7NHzQ95aEwkdMw
381,Mashaurso,Film,"19,500,000",BR,"202,400","3,000",0,http://youtube.com/channel/UCJKBSfD5JSUxGhriFeoPCCg
382,heidizidane9861,Entertainment,"19,400,000",IN,"12,800",65,0,http://youtube.com/channel/UCC9Iz-AebxsyVF4iZagOtwA
383,busyfunltd9692,Film,"19,300,000",IN,"4,800,000","14,500",315,http://youtube.com/channel/UCkKDpnzIG29MA--Sh6oOtWg
